"","ags","wahlberechtigte","waehler","ungueltig","gueltig","parteien_ges","partei_cdu","partei_spd","partei_gruene","partei_fdp","partei_linke","partei_rep","partei_odp","partei_dkp","partei_afd","partei_big","partei_partei","partei_einheit","partei_graue","partei_npd","partei_piraten","partei_cdu.fdp","partei_spd.gruene","wv_cdu","wv_spd","wv_fdp","wv_gruene","wv_linke","wv_odp","wv_partei","wv_agp","wv_spd.gruene","wv_allg","wv_ju","wv_grli","wv_lili","wv_frli","wv_einzel","Gemeindename","lon","lat"
"1","08111000","441798","205899","3846","11201360","11201360","3174420","1605631","2685900","663065","500287","77021","None","None","531444","None","None","None","None","None","227555","None","None","None","None","None","None","None","None","None","None","None","1736037","None","None","None","None","None","Stuttgart, Landeshauptstadt",9.177734,48.775817
"2","08115001","7180","3915","144","59805","59805","23193","10952","7998","1683","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","15979","None","None","None","None","None","Aidlingen",8.896991,48.677969
"3","08115002","3541","2186","40","24793","24793","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","24793","None","None","None","None","None","Altdorf",8.995571,48.630941
"4","08115003","36548","14917","795","388033","388033","125536","83074","61396","27196","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","90831","None","None","None","None","None","Böblingen, Stadt",9.009663,48.685296
"5","08115004","4393","2470","62","31419","31419","8229","5907","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","17283","None","None","None","None","None","Bondorf",8.837466,48.520644
"6","08115010","2574","1561","51","17406","17406","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","17406","None","None","None","None","None","Deckenpfronn",8.822512,48.65171
"7","08115013","6292","3521","68","58261","58261","16786","7696","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","11011","None","None","None","None","None","22768","None","None","None","None","None","Ehningen",8.940525,48.65926
"8","08115015","9147","5067","255","93250","93250","26804","13742","None","5479","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","32395","None","14830","None","None","None","Gärtringen",8.901692,48.641924
"9","08115016","6933","3442","145","49049","49049","19461","None","7913","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","21675","None","None","None","None","None","Gäufelden",8.829578,48.55375
"10","08115021","24345","13038","353","360313","360313","84848","61102","59834","11477","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","112335","None","None","None","30717","None","Herrenberg, Stadt",8.867369,48.595705
"11","08115022","2826","1574","18","17778","17778","4910","949","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","11919","None","None","None","None","None","Hildrizhausen",8.965976,48.624078
"12","08115024","9849","5159","93","86642","86642","16899","13389","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","32548","None","23806","None","None","None","Holzgerlingen, Stadt",9.011719,48.637131
"13","08115028","35986","17259","478","490464","490464","121688","83169","81614","32766","13315","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","157912","None","None","None","None","None","Leonberg, Stadt",9.016776,48.800497
"14","08115029","6293","3122","58","51311","51311","11820","11088","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","28403","None","None","None","None","None","Magstadt",8.962269,48.742432
